"date","grouping","Troops","troops.mean","troops.med","troops.sd","Police","police.mean","police.median","police.sd","Obvservers","obvservers.mean","obvservers.median","obvservers.sd","Total","total.mean","total.median","total.sd"
1992-12-31,"A3",1302,651,651,333.75440072005,309,61.8,30,60.6976111556295,69,8.625,8,5.04090411391789,1680,168,20.5,298.381932726795
1992-12-31,"G4",2107,421.4,145,571.194187645498,537,134.25,75.5,156.700085088256,117,14.625,12,13.2118723664957,2761,276.1,29,552.491216621988
1992-12-31,"None",30785,473.615384615385,452,457.273225637163,3359,63.377358490566,40,65.8904178907018,1368,9.98540145985401,6,11.8774287927712,35512,184,13,367.689378642716
1992-12-31,"P5",11581,1052.81818181818,440,1411.02103585891,208,52,39.5,33.2365260920372,512,23.2727272727273,17.5,13.0937346637958,12301,473.115384615385,29.5,1046.63897603417
1993-01-31,"A3",1302,434,415,442.805826519932,297,74.25,65,62.2809494682497,41,6.83333333333333,6.5,3.86867763798777,1640,182.222222222222,9,312.633082773472
1993-01-31,"G4",2105,526.25,374.5,598.7778525185,591,147.75,75.5,189.949774063216,111,12.3333333333333,13,9.97496867163,2807,280.7,24.5,570.498816826118
1993-01-31,"None",29619,417.169014084507,207,457.590396562425,4080,76.9811320754717,40,112.094481193672,1697,12.2971014492754,6,33.9783979078442,35396,181.517948717949,14,365.472555890552
1993-01-31,"P5",11581,1052.81818181818,439,1448.04964128871,247,61.75,39,53.143673188819,524,23.8181818181818,17.5,13.5070928937932,12352,475.076923076923,30,1068.0531793156
1993-02-28,"A3",1296,432,413,440.807214097047,297,74.25,65,62.2809494682497,51,7.28571428571429,7,3.72890894294322,1644,164.4,9.5,298.412540695669
1993-02-28,"G4",2077,519.25,368,602.589066722367,587,146.75,75.5,190.181273175533,94,10.4444444444444,8,6.76592771006148,2758,275.8,16.5,570.596724685852
1993-02-28,"None",30787,421.739726027397,328,458.410267100615,4072,75.4074074074074,39.5,111.665186635581,1641,11.6382978723404,6,31.9842096299642,36500,179.802955665025,12,364.929791960766
1993-02-28,"P5",11669,1166.9,525.5,1503.05329616455,245,49,36,52.5737577123797,527,23.9545454545455,18,13.5522877096268,12441,478.5,30,1081.29996763155
1993-03-31,"A3",1296,432,413,440.807214097047,297,74.25,65,62.2809494682497,46,7.66666666666667,7.5,3.72379734500505,1639,182.111111111111,10,310.888020211637
1993-03-31,"G4",2068,517,366,600.916522211419,585,146.25,76,188.579558807417,94,10.4444444444444,8,6.76592771006148,2747,274.7,16.5,568.194616502323
1993-03-31,"None",31568,420.906666666667,328,457.740106047837,4120,73.5714285714286,39.5,110.007579431908,1590,12.3255813953488,6,33.3813577256026,37278,192.154639175258,14.5,373.74176727429
1993-03-31,"P5",11624,1056.72727272727,442,1468.21613469605,231,57.75,39,53.2439354919099,525,23.8636363636364,17,14.3271153330401,12380,476.153846153846,28.5,1080.09928033705
1993-04-30,"A3",1286,428.666666666667,414,435.185401103177,297,74.25,65,62.2809494682497,56,9.33333333333333,7.5,6.31400559602751,1639,182.111111111111,20,307.067355984173
1993-04-30,"G4",2078,415.6,138,560.312680563273,581,145.25,75,187.841023208457,97,10.7777777777778,8,6.30035272381193,2756,275.6,20.5,562.633134861825
1993-04-30,"None",34354,452.026315789474,354,468.527764347976,4510,79.1228070175439,39,119.443362276771,1632,12.6511627906977,6,34.7096553486001,40496,208.742268041237,15,388.427860303705
1993-04-30,"P5",11755,1175.5,517,1546.97620824914,236,47.2,36,53.7000931097889,514,23.3636363636364,17,13.1928748971537,12505,480.961538461538,28.5,1106.23200028816
1993-05-31,"A3",2079,415.8,414,328.701536351749,297,74.25,65,62.2809494682497,58,9.66666666666667,7.5,5.8878405775519,2434,221.272727272727,100,296.787159732051
1993-05-31,"G4",2983,426.142857142857,173,479.009543597143,569,142.25,70,188.14599827439,110,12.2222222222222,13,6.01618188259335,3662,305.166666666667,37.5,525.746539924348
1993-05-31,"None",46908,539.172413793103,360,651.701729586804,4083,71.6315789473684,39,109.194883380088,1590,12.1374045801527,7,31.6604007357841,52581,255.247572815534,18,512.67660311772
1993-05-31,"P5",15246,1270.5,732,1443.83110948867,238,47.6,36,54.5554763520584,493,22.4090909090909,15,13.1245284392715,15977,570.607142857143,29.5,1129.14780514909
1993-06-30,"A3",1550,387.5,494,262.29817638202,295,73.75,64.5,62.1148130480967,48,8,6,6.19677335393187,1893,172.090909090909,35,231.586897101479
1993-06-30,"G4",3783,472.875,364,496.836977431086,492,98.4,14,177.012146475885,107,10.7,7.5,7.22726319801163,4382,292.133333333333,21,507.770176734467
1993-06-30,"None",49141,552.14606741573,355,694.985473205961,3769,69.7962962962963,34,110.056482862147,1614,11.4468085106383,6,30.6639447494738,54524,253.6,18,533.341869285274
1993-06-30,"P5",16247,1353.91666666667,733,1674.24835011977,243,48.6,41,53.0970808990475,507,22.0434782608696,17,12.0471734175191,16997,586.103448275862,29,1256.4250971031
1993-07-31,"A3",1213,303.25,327,239.804607962399,297,74.25,65,62.2809494682497,56,9.33333333333333,7.5,6.31400559602751,1566,142.363636363636,36,194.286526927254
1993-07-31,"G4",3785,420.555555555556,173,456.652250380722,563,93.8333333333333,34.5,160.388798445112,106,10.6,7.5,8.59198593005262,4454,296.933333333333,25,497.046486280518
1993-07-31,"None",48354,555.793103448276,361,681.828818759826,4258,73.4137931034483,37,109.827142409886,1641,11.8913043478261,6,34.8000932926446,54253,258.347619047619,18,528.499843258678
