"","Date","Mission","Type","Male","Male.mean","Male.med","Male.sd","Female","Female.mean","Female.med","Female.sd","Total","Total.mean","Total.med","Total.sd","female.perc"
"137",2009-12-31,"UNMIT","Contingent Troops",0,0,0,0,0,0,0,0,0,0,0,0,NA
"138",2009-12-31,"UNMIT","Experts on Mission",34,0.80952380952381,0,1.45230003011363,1,0.0238095238095238,0,0.154303349962092,35,0.833333333333333,0,1.48022191260943,0.0285714285714286
"139",2009-12-31,"UNMIT","Formed Police Units",552,13.1428571428571,0,41.0042064639128,5,0.119047619047619,0,0.77151674981046,557,13.2619047619048,0,41.3722303022913,0.00897666068222621
"140",2009-12-31,"UNMIT","Individual Police",910,21.6666666666667,13,27.8626130011532,50,1.19047619047619,0,1.56545162560272,960,22.8571428571429,14,28.4266891327897,0.0520833333333333
"141",2009-12-31,"UNMOGIP","Contingent Troops",0,0,0,0,0,0,0,0,0,0,0,0,NA
"142",2009-12-31,"UNMOGIP","Experts on Mission",42,5.25,5,2.86605752110555,1,0.125,0,0.353553390593274,43,5.375,5,3.02076149339864,0.0232558139534884
"143",2009-12-31,"UNMOGIP","Formed Police Units",0,0,0,0,0,0,0,0,0,0,0,0,NA
"144",2009-12-31,"UNMOGIP","Individual Police",0,0,0,0,0,0,0,0,0,0,0,0,NA
"145",2009-12-31,"UNOCI","Contingent Troops",7118,139.56862745098,0,374.949503528246,84,1.64705882352941,0,7.27962507114691,7202,141.21568627451,0,377.178966207051,0.0116634268258817
"146",2009-12-31,"UNOCI","Experts on Mission",177,3.47058823529412,3,3.60750850963083,12,0.235294117647059,0,0.550935034069087,189,3.70588235294118,3,3.61272261679227,0.0634920634920635
"147",2009-12-31,"UNOCI","Formed Police Units",744,14.5882352941176,0,63.7859471892009,0,0,0,0,744,14.5882352941176,0,63.7859471892009,0
"148",2009-12-31,"UNOCI","Individual Police",388,7.6078431372549,0,14.6575283474023,13,0.254901960784314,0,0.890912728720428,401,7.86274509803922,0,15.118226890536,0.0324189526184539
"149",2009-12-31,"UNTSO","Contingent Troops",0,0,0,0,0,0,0,0,0,0,0,0,NA
"150",2009-12-31,"UNTSO","Experts on Mission",144,6.26086956521739,5,4.19108785296901,7,0.304347826086957,0,0.634950435338042,151,6.56521739130435,7,4.30460733038156,0.0463576158940397
"151",2009-12-31,"UNTSO","Formed Police Units",0,0,0,0,0,0,0,0,0,0,0,0,NA
"152",2009-12-31,"UNTSO","Individual Police",0,0,0,0,0,0,0,0,0,0,0,0,NA
"153",2010-01-31,"BINUB","Contingent Troops",0,0,0,0,0,0,0,0,0,0,0,0,NA
"154",2010-01-31,"BINUB","Experts on Mission",5,0.416666666666667,0,0.514928650544437,0,0,0,0,5,0.416666666666667,0,0.514928650544437,0
"155",2010-01-31,"BINUB","Formed Police Units",0,0,0,0,0,0,0,0,0,0,0,0,NA
"156",2010-01-31,"BINUB","Individual Police",10,0.833333333333333,1,0.834847109936722,0,0,0,0,10,0.833333333333333,1,0.834847109936722,0
"157",2010-01-31,"MINURCAT","Contingent Troops",3383,75.1777777777778,2,191.990682644295,89,1.97777777777778,0,6.56951945415994,3472,77.1555555555556,2,194.518164091727,0.0256336405529954
"158",2010-01-31,"MINURCAT","Experts on Mission",23,0.511111111111111,0,0.968180632616526,0,0,0,0,23,0.511111111111111,0,0.968180632616526,0
"159",2010-01-31,"MINURCAT","Formed Police Units",0,0,0,0,0,0,0,0,0,0,0,0,NA
"160",2010-01-31,"MINURCAT","Individual Police",231,5.13333333333333,0,7.97894957770986,23,0.511111111111111,0,1.3588468075779,254,5.64444444444444,0,8.86298624914454,0.0905511811023622
"161",2010-01-31,"MINURSO","Contingent Troops",15,0.517241379310345,0,2.78543007265578,5,0.172413793103448,0,0.928476690885259,20,0.689655172413793,0,3.71390676354104,0.25
"162",2010-01-31,"MINURSO","Experts on Mission",202,6.96551724137931,5,5.30150085636598,5,0.172413793103448,0,0.46820062223378,207,7.13793103448276,5,5.39658713534393,0.0241545893719807
"163",2010-01-31,"MINURSO","Formed Police Units",0,0,0,0,0,0,0,0,0,0,0,0,NA
"164",2010-01-31,"MINURSO","Individual Police",3,0.103448275862069,0,0.409252592818988,3,0.103448275862069,0,0.557086014531156,6,0.206896551724138,0,0.675029647223396,0.5
"165",2010-01-31,"MINUSTAH","Contingent Troops",6893,146.659574468085,0,329.668758433024,139,2.95744680851064,0,8.7649436288981,7032,149.617021276596,0,335.040915943339,0.0197667804323094
"166",2010-01-31,"MINUSTAH","Experts on Mission",0,0,0,0,0,0,0,0,0,0,0,0,NA
"167",2010-01-31,"MINUSTAH","Formed Police Units",1110,23.6170212765957,0,62.758180894567,35,0.74468085106383,0,3.10307060482651,1145,24.3617021276596,0,63.8620883425727,0.0305676855895196
"168",2010-01-31,"MINUSTAH","Individual Police",807,17.1702127659574,11,17.2151590793597,46,0.978723404255319,0,1.55324851313973,853,18.1489361702128,12,18.0301423026098,0.0539273153575615
