"date","tcc.unregion","tcc.continent","n.contributors","troops","police","observers","total"
2001-03-31,"Central America","South America",2,NA,1,14,15
2001-03-31,"Northern America","North America",2,430,936,74,1440
2001-03-31,"South America","South America",9,608,80,107,795
2001-04-30,"Central America","South America",2,NA,1,14,15
2001-04-30,"Northern America","North America",2,432,930,74,1436
2001-04-30,"South America","South America",9,840,195,117,1152
2001-05-31,"Central America","South America",2,NA,1,14,15
2001-05-31,"Northern America","North America",2,418,917,70,1405
2001-05-31,"South America","South America",9,882,172,105,1159
2001-06-30,"Central America","South America",2,NA,1,14,15
2001-06-30,"Northern America","North America",2,199,857,69,1125
2001-06-30,"South America","South America",9,1036,175,135,1346
2001-07-31,"Central America","South America",2,NA,1,14,15
2001-07-31,"Northern America","North America",2,197,839,69,1105
2001-07-31,"South America","South America",8,1045,178,140,1363
2001-08-31,"Central America","South America",2,NA,1,14,15
2001-08-31,"Northern America","North America",2,203,803,69,1075
2001-08-31,"South America","South America",8,1020,181,141,1342
2001-09-30,"Central America","South America",2,NA,1,14,15
2001-09-30,"Northern America","North America",2,194,789,66,1049
2001-09-30,"South America","South America",8,1015,99,144,1258
2001-10-31,"Central America","South America",2,NA,1,14,15
2001-10-31,"Northern America","North America",2,194,854,66,1114
2001-10-31,"South America","South America",8,1593,181,146,1920
2001-11-30,"Central America","South America",2,NA,1,14,15
2001-11-30,"Northern America","North America",2,206,827,65,1098
2001-11-30,"South America","South America",8,1559,183,140,1882
2001-12-31,"Central America","South America",2,NA,1,14,15
2001-12-31,"Northern America","North America",2,192,792,61,1045
2001-12-31,"South America","South America",8,1559,177,144,1880
2002-01-31,"Central America","South America",2,NA,1,16,17
2002-01-31,"Northern America","North America",2,191,817,53,1061
2002-01-31,"South America","South America",8,1558,175,143,1876
2002-02-28,"Central America","South America",2,NA,1,16,17
2002-02-28,"Northern America","North America",2,198,819,53,1070
2002-02-28,"South America","South America",8,1758,179,142,2079
2002-03-31,"Central America","South America",2,NA,1,16,17
2002-03-31,"Northern America","North America",2,198,761,55,1014
2002-03-31,"South America","South America",8,1760,158,142,2060
2002-04-30,"Central America","South America",2,NA,1,16,17
2002-04-30,"Northern America","North America",2,195,745,53,993
2002-04-30,"South America","South America",8,1758,181,143,2082
2002-05-31,"Central America","South America",2,NA,1,16,17
2002-05-31,"Northern America","North America",2,197,718,51,966
2002-05-31,"South America","South America",9,1787,182,150,2119
2002-06-30,"Central America","South America",2,NA,1,16,17
2002-06-30,"Northern America","North America",2,203,693,51,947
2002-06-30,"South America","South America",9,2262,195,146,2603
2002-07-31,"Central America","South America",2,NA,1,16,17
2002-07-31,"Northern America","North America",2,201,708,49,958
2002-07-31,"South America","South America",9,2272,204,141,2617
2002-08-30,"Central America","South America",2,NA,1,16,17
2002-08-30,"Northern America","North America",2,209,709,49,967
2002-08-30,"South America","South America",9,2244,202,147,2593
2002-09-30,"Central America","South America",2,NA,1,16,17
2002-09-30,"Northern America","North America",2,200,660,49,909
2002-09-30,"South America","South America",9,2246,201,145,2592
2002-10-31,"Central America","South America",2,NA,NA,16,16
2002-10-31,"Northern America","North America",2,199,685,50,934
2002-10-31,"South America","South America",8,2252,189,138,2579
2002-11-30,"Central America","South America",2,NA,NA,16,16
2002-11-30,"Northern America","North America",2,199,685,51,935
2002-11-30,"South America","South America",8,2303,189,139,2631
2002-12-31,"Central America","South America",2,NA,NA,16,16
2002-12-31,"Northern America","North America",2,200,648,46,894
2002-12-31,"South America","South America",8,2316,172,134,2622
2003-01-31,"Central America","South America",2,NA,NA,10,10
2003-01-31,"Northern America","North America",2,200,629,43,872
2003-01-31,"South America","South America",8,2328,168,136,2632
2003-02-28,"Central America","South America",2,NA,NA,17,17
2003-02-28,"Northern America","North America",2,201,599,42,842
2003-02-28,"South America","South America",8,2353,167,131,2651
2003-03-30,"Central America","South America",2,NA,NA,17,17
2003-03-30,"Northern America","North America",2,201,618,33,852
2003-03-30,"South America","South America",7,2317,166,119,2602
2003-04-30,"Central America","South America",2,NA,NA,17,17
2003-04-30,"Northern America","North America",2,201,586,33,820
2003-04-30,"South America","South America",7,2300,166,121,2587
2003-05-31,"Central America","South America",2,NA,NA,17,17
2003-05-31,"Northern America","North America",2,201,567,33,801
2003-05-31,"South America","South America",7,2205,163,131,2499
2003-06-30,"Central America","South America",2,NA,NA,17,17
2003-06-30,"Northern America","North America",2,200,557,28,785
2003-06-30,"South America","South America",7,2408,162,129,2699
2003-07-31,"Central America","South America",2,NA,NA,16,16
2003-07-31,"Northern America","North America",2,198,544,27,769
2003-07-31,"South America","South America",7,2401,161,136,2698
2003-08-31,"Central America","South America",2,NA,NA,16,16
2003-08-31,"Northern America","North America",2,197,465,28,690
2003-08-31,"South America","South America",7,2405,160,129,2694
2003-09-30,"Central America","South America",2,NA,NA,11,11
2003-09-30,"Northern America","North America",2,197,444,28,669
2003-09-30,"South America","South America",7,2525,121,131,2777
2003-10-31,"Central America","South America",2,NA,NA,17,17
2003-10-31,"Northern America","North America",2,198,477,28,703
2003-10-31,"South America","South America",7,2544,156,131,2831
2003-11-30,"Central America","South America",2,NA,NA,17,17
2003-11-30,"Northern America","North America",2,200,522,33,755
2003-11-30,"South America","South America",8,2495,158,145,2798
2003-12-31,"Central America","South America",2,NA,NA,17,17
2003-12-31,"Northern America","North America",2,194,521,36,751
2003-12-31,"South America","South America",8,2496,154,147,2797
2004-01-31,"Central America","South America",2,NA,NA,23,23
2004-01-31,"Northern America","North America",2,195,484,36,715
2004-01-31,"South America","South America",8,2500,156,147,2803
2004-02-28,"Central America","South America",2,NA,NA,17,17
2004-02-28,"Northern America","North America",2,206,503,35,744
2004-02-28,"South America","South America",8,2491,156,151,2798
2004-03-31,"Central America","South America",2,NA,NA,20,20
2004-03-31,"Northern America","North America",2,206,476,35,717
2004-03-31,"South America","South America",8,2610,155,151,2916
2004-04-30,"Central America","South America",3,NA,NA,26,26
2004-04-30,"Northern America","North America",2,200,554,35,789
2004-04-30,"South America","South America",8,2500,154,158,2812
2004-05-31,"Central America","South America",3,NA,1,26,27
