"date","mission.continent","n.missions","troops","police","observers","total"
2001-09-30,"Africa",4,22055,82,1087,23224
2001-09-30,"Asia",8,15561,1562,618,17741
2001-09-30,"Europe",3,0,5935,68,6003
2001-09-30,"South America",1,0,9,3,12
2001-10-31,"Africa",4,23007,84,1148,24239
2001-10-31,"Asia",8,15093,1462,611,17166
2001-10-31,"Europe",3,0,6112,68,6180
2001-10-31,"South America",1,0,9,4,13
2001-11-30,"Africa",4,23805,88,1153,25046
2001-11-30,"Asia",8,14489,1421,625,16535
2001-11-30,"Europe",3,0,6139,68,6207
2001-11-30,"South America",1,0,9,4,13
2001-12-31,"Africa",4,23778,89,1154,25021
2001-12-31,"Asia",8,13887,1351,598,15836
2001-12-31,"Europe",3,0,6193,68,6261
2001-12-31,"South America",1,0,9,4,13
2002-01-31,"Africa",4,23849,94,1116,25059
2002-01-31,"Asia",8,13059,1294,613,14966
2002-01-31,"Europe",3,0,6157,67,6224
2002-01-31,"South America",1,0,9,4,13
2002-02-28,"Africa",4,24024,107,1138,25269
2002-02-28,"Asia",8,12746,1258,619,14623
2002-02-28,"Europe",3,0,6326,68,6394
2002-02-28,"South America",1,0,9,4,13
2002-03-31,"Africa",4,24047,125,1139,25311
2002-03-31,"Asia",8,13072,1323,623,15018
2002-03-31,"Europe",3,0,6071,68,6139
2002-03-31,"South America",1,0,11,4,15
2002-04-30,"Africa",4,24261,127,1138,25526
2002-04-30,"Asia",8,13214,1313,619,15146
2002-04-30,"Europe",3,0,6068,67,6135
2002-04-30,"South America",1,0,11,4,15
2002-05-31,"Africa",4,24352,128,1148,25628
2002-05-31,"Asia",8,11867,1143,601,13611
2002-05-31,"Europe",3,0,5972,69,6041
2002-05-31,"South America",1,0,10,4,14
2002-06-30,"Africa",4,24871,132,1129,26132
2002-06-30,"Asia",8,11531,974,612,13117
2002-06-30,"Europe",3,0,6037,68,6105
2002-06-30,"South America",1,0,10,4,14
2002-07-31,"Africa",4,24866,163,1097,26126
2002-07-31,"Asia",8,11134,869,617,12620
2002-07-31,"Europe",3,0,5909,68,5977
2002-07-31,"South America",1,0,10,4,14
2002-08-30,"Africa",5,24755,138,1122,26015
2002-08-30,"Asia",8,10943,806,613,12362
2002-08-30,"Europe",3,0,5800,69,5869
2002-08-30,"South America",1,0,10,4,14
2002-09-30,"Africa",5,24866,138,1094,26098
2002-09-30,"Asia",8,10932,789,621,12342
2002-09-30,"Europe",3,0,5839,66,5905
2002-09-30,"South America",1,0,10,4,14
2002-10-31,"Africa",5,24785,111,1088,25984
2002-10-31,"Asia",9,10270,780,620,11670
2002-10-31,"Europe",3,0,5290,63,5353
2002-11-30,"Africa",5,24302,111,1086,25499
2002-11-30,"Asia",9,9677,780,617,11074
2002-11-30,"Europe",3,0,5290,63,5353
2002-12-31,"Africa",5,23535,118,1137,24790
2002-12-31,"Asia",9,8985,769,623,10377
2002-12-31,"Europe",1,0,4446,39,4485
2003-01-31,"Africa",5,23024,126,1135,24285
2003-01-31,"Asia",9,8999,768,619,10386
2003-01-31,"Europe",1,0,4438,38,4476
2003-02-28,"Africa",4,23023,126,1131,24280
2003-02-28,"Asia",9,8970,721,615,10306
2003-02-28,"Europe",1,0,4377,38,4415
2003-03-30,"Africa",4,22244,171,1175,23590
2003-03-30,"Asia",9,7983,687,416,9086
2003-03-30,"Europe",1,0,4391,38,4429
2003-04-30,"Africa",4,22508,188,1201,23897
2003-04-30,"Asia",9,7659,677,419,8755
2003-04-30,"Europe",1,0,4297,38,4335
2003-05-31,"Africa",4,20693,204,1212,22109
2003-05-31,"Asia",9,7731,553,419,8703
2003-05-31,"Europe",1,0,4097,38,4135
2003-06-30,"Africa",5,22313,226,1225,23764
2003-06-30,"Asia",9,7662,457,425,8544
2003-06-30,"Europe",1,0,4020,39,4059
2003-07-31,"Africa",5,22698,219,1251,24168
2003-07-31,"Asia",9,7592,454,428,8474
2003-07-31,"Europe",1,0,3998,38,4036
2003-08-31,"Africa",5,23177,232,1255,24664
2003-08-31,"Asia",9,7882,426,419,8727
2003-08-31,"Europe",1,0,3774,37,3811
2003-09-30,"Africa",6,24402,249,1237,25888
2003-09-30,"Asia",9,7738,529,428,8695
