"date","tcc.continent","n.contributors","troops","police","observers","total"
1996-04-30,"South America",9,2363,55,117,2535
1996-05-31,"Africa",16,2227,436,230,2893
1996-05-31,"Asia",13,6523,697,323,7543
1996-05-31,"Europe",25,9484,962,612,11058
1996-05-31,"North America",2,1495,291,73,1859
1996-05-31,"Oceania",3,589,77,35,701
1996-05-31,"South America",9,2454,129,116,2699
1996-06-30,"Africa",16,2220,449,241,2910
1996-06-30,"Asia",13,6365,803,311,7479
1996-06-30,"Europe",26,9225,918,623,10766
1996-06-30,"North America",2,1493,285,69,1847
1996-06-30,"Oceania",3,603,68,35,706
1996-06-30,"South America",9,2467,110,114,2691
1996-07-31,"Africa",16,2144,455,240,2839
1996-07-31,"Asia",13,5375,810,305,6490
1996-07-31,"Europe",27,8908,968,638,10514
1996-07-31,"North America",2,1460,304,56,1820
1996-07-31,"Oceania",3,600,66,36,702
1996-07-31,"South America",9,2382,99,201,2682
1996-08-31,"Africa",16,2229,455,230,2914
1996-08-31,"Asia",13,5597,809,297,6703
1996-08-31,"Europe",27,9300,986,599,10885
1996-08-31,"North America",2,1350,302,53,1705
1996-08-31,"Oceania",3,598,64,34,696
1996-08-31,"South America",9,2478,147,108,2733
1996-09-30,"Africa",16,2233,454,225,2912
1996-09-30,"Asia",13,5590,789,296,6675
1996-09-30,"Europe",27,9176,1006,596,10778
1996-09-30,"North America",2,1384,297,53,1734
1996-09-30,"Oceania",3,627,64,35,726
1996-09-30,"South America",9,2479,96,110,2685
1996-10-31,"Africa",16,2234,453,228,2915
1996-10-31,"Asia",13,5594,787,295,6676
1996-10-31,"Europe",27,9382,1033,592,11007
1996-10-31,"North America",2,1430,332,53,1815
1996-10-31,"Oceania",3,609,66,34,709
1996-10-31,"South America",9,2447,96,105,2648
1996-11-30,"Africa",16,2243,454,232,2929
1996-11-30,"Asia",13,5573,792,305,6670
1996-11-30,"Europe",27,9256,1036,597,10889
1996-11-30,"North America",2,1433,333,53,1819
1996-11-30,"Oceania",3,610,66,35,711
1996-11-30,"South America",9,2450,94,112,2656
1996-12-31,"Africa",15,2238,441,245,2924
1996-12-31,"Asia",13,5382,788,333,6503
1996-12-31,"Europe",27,8875,1036,583,10494
1996-12-31,"North America",2,1421,330,52,1803
1996-12-31,"Oceania",3,602,66,35,703
1996-12-31,"South America",8,2295,87,111,2493
1997-01-31,"Africa",15,2237,441,256,2934
1997-01-31,"Asia",13,5369,769,325,6463
1997-01-31,"Europe",27,8871,1034,598,10503
1997-01-31,"North America",2,1438,358,51,1847
1997-01-31,"Oceania",3,597,66,37,700
1997-01-31,"South America",9,2315,91,117,2523
1997-02-28,"Africa",15,1723,406,240,2369
1997-02-28,"Asia",13,5360,681,334,6375
1997-02-28,"Europe",27,8831,1003,654,10488
1997-02-28,"North America",2,1394,353,71,1818
1997-02-28,"Oceania",3,594,66,36,696
1997-02-28,"South America",10,2180,110,162,2452
1997-03-31,"Africa",15,2106,412,261,2779
1997-03-31,"Asia",13,5216,685,376,6277
1997-03-31,"Europe",27,8819,1001,639,10459
1997-03-31,"North America",2,1432,358,71,1861
1997-03-31,"Oceania",3,590,66,37,693
1997-03-31,"South America",10,1513,114,161,1788
1997-04-30,"Africa",15,2097,424,237,2758
1997-04-30,"Asia",13,5003,766,323,6092
1997-04-30,"Europe",27,9014,1070,633,10717
1997-04-30,"North America",2,1457,342,71,1870
1997-04-30,"Oceania",3,590,65,36,691
1997-04-30,"South America",10,1497,111,159,1767
1997-05-31,"Africa",15,2077,435,232,2744
1997-05-31,"Asia",13,4730,690,300,5720
1997-05-31,"Europe",27,8792,1128,563,10483
1997-05-31,"North America",2,1466,359,51,1876
1997-05-31,"Oceania",3,590,65,34,689
1997-05-31,"South America",8,1288,108,106,1502
1997-06-30,"Africa",16,2067,418,220,2705
1997-06-30,"Asia",13,4642,727,308,5677
1997-06-30,"Europe",27,8197,1208,570,9975
1997-06-30,"North America",2,1451,404,52,1907
1997-06-30,"Oceania",3,626,63,34,723
1997-06-30,"South America",8,1244,109,103,1456
1997-07-31,"Africa",16,2061,426,215,2702
1997-07-31,"Asia",13,3332,742,311,4385
1997-07-31,"Europe",27,7936,1214,533,9683
1997-07-31,"North America",2,1435,386,54,1875
1997-07-31,"Oceania",3,616,63,33,712
1997-07-31,"South America",8,953,126,102,1181
1997-08-31,"Africa",15,2060,431,196,2687
1997-08-31,"Asia",13,2653,788,271,3712
1997-08-31,"Europe",27,7791,1233,527,9551
1997-08-31,"North America",2,1373,383,49,1805
1997-08-31,"Oceania",3,616,62,34,712
1997-08-31,"South America",8,503,142,100,745
1997-09-30,"Africa",15,2009,423,182,2614
1997-09-30,"Asia",13,2577,768,259,3604
1997-09-30,"Europe",27,7776,1211,527,9514
1997-09-30,"North America",2,1267,372,49,1688
1997-09-30,"Oceania",3,608,62,34,704
1997-09-30,"South America",8,454,140,100,694
1997-10-31,"Africa",16,2009,462,175,2646
1997-10-31,"Asia",13,2577,765,266,3608
1997-10-31,"Europe",28,7247,1234,509,8990
1997-10-31,"North America",2,1298,348,49,1695
1997-10-31,"Oceania",3,599,62,33,694
1997-10-31,"South America",8,451,145,97,693
1997-11-30,"Africa",16,2004,428,178,2610
1997-11-30,"Asia",13,2301,816,261,3378
1997-11-30,"Europe",29,6179,1251,512,7942
1997-11-30,"North America",2,1158,319,49,1526
1997-11-30,"Oceania",3,597,62,34,693
1997-11-30,"South America",7,454,146,93,693
1997-12-31,"Africa",16,1392,474,173,2039
1997-12-31,"Asia",13,1746,806,235,2787
1997-12-31,"Europe",29,5959,1205,504,7668
1997-12-31,"North America",2,537,312,49,898
1997-12-31,"Oceania",3,585,62,33,680
1997-12-31,"South America",7,453,278,85,816
1998-01-31,"Africa",16,1093,402,129,1624
1998-01-31,"Asia",13,1644,816,208,2668
1998-01-31,"Europe",29,5053,1134,450,6637
1998-01-31,"North America",2,534,208,49,791
1998-01-31,"Oceania",3,582,62,30,674
1998-01-31,"South America",7,453,279,75,807
1998-02-28,"Africa",16,948,411,117,1476
1998-02-28,"Asia",13,1659,766,200,2625
1998-02-28,"Europe",29,5244,1221,456,6921
1998-02-28,"North America",2,590,308,48,946
1998-02-28,"Oceania",3,580,35,29,644
1998-02-28,"South America",7,453,270,80,803
1998-03-31,"Africa",16,969,396,114,1479
1998-03-31,"Asia",13,1657,717,187,2561
1998-03-31,"Europe",29,5234,1186,453,6873
1998-03-31,"North America",2,538,316,49,903
1998-03-31,"Oceania",3,579,28,29,636
1998-03-31,"South America",7,455,264,77,796
1998-04-30,"Africa",20,1962,380,117,2459
1998-04-30,"Asia",13,1661,714,190,2565
1998-04-30,"Europe",29,5410,1210,452,7072
1998-04-30,"North America",2,696,265,47,1008
1998-04-30,"Oceania",3,574,35,29,638
1998-04-30,"South America",7,455,271,77,803
1998-05-31,"Africa",20,1947,389,114,2450
1998-05-31,"Asia",13,1681,711,186,2578
1998-05-31,"Europe",29,5382,1224,455,7061
1998-05-31,"North America",2,705,295,47,1047
1998-05-31,"Oceania",3,570,35,29,634
1998-05-31,"South America",7,463,265,78,806
1998-06-30,"Africa",21,1948,408,118,2474
1998-06-30,"Asia",13,1728,692,194,2614
1998-06-30,"Europe",29,5374,1241,454,7069
1998-06-30,"North America",2,693,315,47,1055
1998-06-30,"Oceania",3,586,34,32,652
1998-06-30,"South America",7,467,285,78,830
1998-07-31,"Africa",21,1929,427,114,2470
1998-07-31,"Asia",13,1776,657,197,2630
1998-07-31,"Europe",29,5368,1281,455,7104
1998-07-31,"North America",2,681,313,47,1041
1998-07-31,"Oceania",3,582,35,31,648
1998-07-31,"South America",7,467,280,76,823
1998-08-31,"Africa",21,1921,420,115,2456
1998-08-31,"Asia",14,1841,662,189,2692
1998-08-31,"Europe",29,5359,1267,463,7089
1998-08-31,"North America",2,683,306,47,1036
1998-08-31,"Oceania",3,572,35,31,638
1998-08-31,"South America",7,468,266,75,809
1998-09-30,"Africa",22,1921,397,118,2436
1998-09-30,"Asia",14,1846,644,193,2683
1998-09-30,"Europe",28,5363,1260,458,7081
1998-09-30,"North America",2,689,310,48,1047
1998-09-30,"Oceania",3,571,33,32,636
1998-09-30,"South America",7,466,261,73,800
1998-10-31,"Africa",22,1918,394,118,2430
1998-10-31,"Asia",14,1831,635,197,2663
1998-10-31,"Europe",29,5095,1186,450,6731
1998-10-31,"North America",2,689,272,48,1009
1998-10-31,"Oceania",3,592,33,25,650
1998-10-31,"South America",7,465,268,73,806
1998-11-30,"Africa",22,1914,365,119,2398
1998-11-30,"Asia",14,2462,626,199,3287
1998-11-30,"Europe",29,4708,1177,449,6334
1998-11-30,"North America",2,695,254,48,997
1998-11-30,"Oceania",3,587,40,31,658
1998-11-30,"South America",7,463,265,74,802
1998-12-31,"Africa",22,1914,365,119,2398
1998-12-31,"Asia",14,2462,626,199,3287
